CD_UNID_ORG,CD_PED,CD_IT_PED,CD_PROD_SK,DT_EMIS_PED,DT_PREVIS_ENTREGA,VO_PROD,CD_SIT_IT_PED,CD_TIPO_RETIR,CD_PTOV,CD_SEGTO_MERC,DT_PREV_SAIDA,CD_TPNEG,DT_ALTER
76264,838446,1,15310017,2022-01-12,2022-01-17,5000,1,2,1320632,CON,2022-01-17,29,2022-01-13T19:40:19.628+0000
76912,3449,1,15310017,2022-01-13,2022-01-14,5000,1,2,1398704,CON,2022-01-14,29,2022-01-13T19:40:19.628+0000
76520,1037,1,10000300,2022-01-13,2022-01-14,5000,2,1,91979,REV,2022-01-14,61,2022-01-13T19:40:19.628+0000
76340,657,1,11110000,2022-01-13,2022-01-14,5000,2,1,1381913,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76934,832281,2,11110000,2022-01-12,2022-01-13,23000,1,1,1275406,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76947,1961,1,11110000,2022-01-13,2022-01-14,5000,1,1,81204,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76566,840380,2,15310002,2022-01-13,2022-01-14,5000,1,2,1401658,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76428,846384,2,15190000,2022-01-13,2022-01-14,15000,2,1,1405516,REV,2022-01-14,51,2022-01-13T19:40:19.628+0000
76520,837533,2,15310002,2022-01-12,2022-01-13,10000,1,1,1304856,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76934,5061,1,11200000,2022-01-13,2022-01-14,5000,1,1,1274950,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76379,613,1,11110000,2022-01-13,2022-01-14,10000,1,2,88052,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76937,1335,1,11110000,2022-01-13,2022-01-14,5000,3,1,1301292,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76934,1026,1,15310002,2022-01-13,2022-01-14,5000,1,1,1275291,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76984,828059,2,11200000,2022-01-12,2022-01-13,5000,1,1,1304881,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76970,838027,1,15310002,2022-01-12,2022-01-13,2000,1,1,1337328,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76921,822452,1,11110000,2022-01-12,2022-01-19,5000,2,1,1348563,REV,2022-01-19,61,2022-01-13T19:40:19.628+0000
76563,824670,1,15190000,2022-01-12,2022-01-12,3000,1,1,1370964,REV,2022-01-12,51,2022-01-13T19:40:19.628+0000
76370,4175,2,15190001,2022-01-13,2022-01-14,5000,1,2,1293192,CON,2022-01-14,29,2022-01-13T19:40:19.628+0000
76272,843519,2,15310002,2022-01-13,2022-01-14,5000,1,2,1304658,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76230,844498,1,11110000,2022-01-13,2022-01-14,5000,1,2,52351,REV,2022-01-14,20,2022-01-13T19:40:19.628+0000
76264,5476,1,11110000,2022-01-13,2022-01-14,5000,1,2,1334638,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76257,4847,1,11110000,2022-01-13,2022-01-14,5000,2,1,1305440,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,848047,1,10000300,2022-01-13,2022-01-14,5000,1,1,1340085,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76331,470,1,11200000,2022-01-13,2022-01-14,10000,2,1,1305507,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76331,847464,1,15310002,2022-01-13,2022-01-14,12000,2,1,10777,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,5245,1,10000300,2022-01-13,2022-01-14,5000,1,1,1345970,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76921,844141,1,10000003,2022-01-13,2022-01-14,5000,2,1,1398460,REV,2022-01-14,61,2022-01-13T19:40:19.628+0000
76370,829300,2,11200000,2022-01-12,2022-01-13,5000,1,1,1339860,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76230,3004,1,10000301,2022-01-13,2022-01-14,5000,2,1,14929,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76377,843774,1,11110000,2022-01-13,2022-01-17,5000,1,2,1304420,REV,2022-01-17,23,2022-01-13T19:40:19.628+0000
76272,4960,2,11200000,2022-01-13,2022-01-15,5000,1,2,1403832,REV,2022-01-15,23,2022-01-13T19:40:19.628+0000
76937,1282,1,11110000,2022-01-13,2022-01-14,5000,1,1,1359737,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76272,826922,1,15310000,2022-01-12,2022-01-28,15000,1,2,184350,CON,2022-01-28,29,2022-01-13T19:40:19.628+0000
76520,849120,2,11200000,2022-01-13,2022-01-14,5000,1,1,1391217,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76313,838704,1,11200000,2022-01-12,2022-01-14,5000,1,2,11258,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76285,830525,4,15310002,2022-01-12,2022-01-17,5000,1,2,51222,REV,2022-01-17,23,2022-01-13T19:40:19.628+0000
76313,6017,1,11200000,2022-01-13,2022-01-14,5000,1,2,1297747,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76515,848272,2,11110000,2022-01-13,2022-01-14,10000,1,1,6742,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76950,2197,1,11200000,2022-01-13,2022-01-14,4000,1,1,1320758,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76340,751,1,11110000,2022-01-13,2022-01-14,5000,2,1,1365373,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76986,832653,3,15190002,2022-01-12,2022-01-14,20000,2,1,1339835,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76272,846605,3,11110000,2022-01-13,2022-01-14,10000,1,2,1315499,REV,2022-01-14,85,2022-01-13T19:40:19.628+0000
76563,833000,2,11100001,2022-01-12,2022-01-13,5000,1,1,1366442,REV,2022-01-13,51,2022-01-13T19:40:19.628+0000
76952,846170,3,15190002,2022-01-13,2022-01-15,6000,2,1,1368934,REV,2022-01-15,23,2022-01-13T19:40:19.628+0000
76264,849283,1,11110000,2022-01-13,2022-01-14,5000,1,2,1357256,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76984,846708,1,11110000,2022-01-13,2022-01-14,5000,1,1,1352375,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76341,4661,1,15310002,2022-01-13,2022-01-14,3000,1,1,1275550,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
